trip_id,timestamp,coords,segment,%,bus_stop_number,expected_arrival_time,delay,accumulated_distance
8202411051558_322_008-10,2024-11-05 16:00:03,"[54.36148834228516, 18.7151107788086]",['54.361468222137_18.715269610068_54.360508622716_18.709227322589'],0.01973810243671689,STOP 2,"[0, -0.05]",0.05,[0.34213173]
12202411051541_312_012-10,2024-11-05 16:00:04,"[54.41044998168945, 18.56689071655273]",['54.414608540467_18.567690639068_54.410207752156_18.566564177499'],0.19942031652500697,,[-4.066666666666666],4.066666666666666,[4.55579372]
5202411051535_201_005-01,2024-11-05 16:00:05,"[54.37817001342773, 18.606910705566406]",['54.379714633264_18.6034359907_54.376473787703_18.612279197114'],0.35306573529899266,STOP 14,"[0, -4.083333333333333]",4.083333333333333,[5.37088731]
148202411051538_22_148-01,2024-11-05 16:00:06,"[54.40187072753906, 18.62286949157715]",['54.402029908428_18.622196721443_54.401855282013_18.622915625443'],0.5521285265074267,,[-3.1],3.1,[5.65675741]
127202411051602_122_127-03,2024-11-05 16:00:05,"[54.3526611328125, 18.549819946289062]",['54.353127241181_18.550409383823_54.352654006189_18.549683414269'],0,STOP 1,"[0, 3.9166666666666665]",,[0.11655848]
9202411051540_112_009-35,2024-11-05 16:00:06,"[54.34463882446289, 18.662399291992188]",['54.346475242768_18.66884616531_54.345301510793_18.657910684941'],0.42070565136293553,,[-3.1],3.1,[6.76069699]
3202411051602_21_003-01,2024-11-05 16:00:02,"[54.40737915039063, 18.638080596923828]",['54.406971104305_18.638060967042_54.407511935904_18.637675423912'],0,STOP 1,"[0, 2.966666666666667]",,[0.04703174]
10202411051541_21_010-03,2024-11-05 16:00:03,"[54.364540100097656, 18.64283943176269]",['54.365471202236_18.641583269973_54.361141753865_18.646834240805'],0.44740967005240145,STOP 13,"[0, -0.05]",0.05,[6.45381687]
127202411051522_122_127-01,2024-11-05 16:00:03,"[54.39617156982422, 18.603939056396484]",['54.393326333991_18.599869349042_54.397220512618_18.604926505062'],0.6923423454865988,STOP 21,"[0, -0.05]",0.05,[10.87347913]
12202411051521_312_012-08,2024-11-05 16:00:03,"[54.37385940551758, 18.62175941467285]",['54.374499194213_18.62063198662_54.37261093133_18.623805359981'],0.4791874701581156,STOP 26,"[0, 0.95]",,[10.94712568]
175202411051525_101_175-04,2024-11-05 16:00:05,"[54.31251907348633, 18.596649169921875]",['54.314963500009_18.594117174774_54.312338746463_18.596838032882'],0.6372263862442351,STOP 16,"[0, -9.083333333333334]",9.083333333333334,[7.59310979]
148202411051556_11_148-04,2024-11-05 16:00:05,"[54.39913940429688, 18.66865921020508]",['54.399223030872_18.669567972306_54.399256573184_18.669442809963'],0.12126235605235255,,[-3.0833333333333335],3.0833333333333335,[1.30748074]
148202411051611_11_148-34,2024-11-05 16:00:05,"[54.39619064331055, 18.673519134521484]",['54.396107905278_18.673519170942_54.395897668308_18.672406417134'],0,STOP 1,"[0, 10.916666666666666]",,[0.06530298]
171202411051538_12_171-02,2024-11-05 16:00:04,"[54.4462890625, 18.423620223999023]",['54.449357764501_18.429394742513_54.446043560275_18.423216097932'],0.3646258034080306,,[-7.066666666666666],7.066666666666666,[7.50228194]
186202411051553_71_186-32,2024-11-05 16:00:04,"[54.35815048217773, 18.64682006835937]",['54.359750515567_18.647868149284_54.358045789232_18.646195485994'],0.027149089805147443,,[-6.066666666666666],6.066666666666666,[0.54290895]
10202411051551_21_010-33,2024-11-05 16:00:05,"[54.38563919067383, 18.644649505615234]",['54.387921683238_18.650030369814_54.384312569202_18.641519136128'],0.23693421238056678,STOP 7,"[0, 0.9166666666666666]",,[3.4177402]
186202411051521_52_186-31,2024-11-05 16:00:04,"[54.34080123901367, 18.749509811401367]",['54.34092330438_18.749996003874_54.339140335283_18.74021641166'],0.48743852842186774,,[-20.066666666666666],20.066666666666666,[9.61898215]
11202411051546_42_011-45,2024-11-05 16:00:04,"[54.33843994140625, 18.60531044006348]",['54.337398508644_18.600237531802_54.338197087554_18.60966808017'],0.22055759539932251,,[-6.066666666666666],6.066666666666666,[3.32905448]
205202411051536_102_205-08,2024-11-05 16:00:03,"[54.26118850708008, 18.6514892578125]",['54.261554217322_18.653402573288_54.260711380092_18.650747836614'],0.2753293025933323,,[-15.05],15.05,[4.59010958]
167202411051521_32_167-04,2024-11-05 16:00:04,"[54.344268798828125, 18.58822059631348]",['54.344002224454_18.581588184282_54.344763817304_18.589544896999'],0.7175626016768061,,[-4.066666666666666],4.066666666666666,[14.31091083]
210202411051444_222_210-01,2024-11-05 16:00:03,"[54.35177993774414, 18.644630432128903]",['54.351773852814_18.643583907758_54.351762930454_18.646708662796'],0.9403996501037641,STOP 40,"[0, -11.05]",11.05,[24.35705693]
213202411051540_42_213-31,2024-11-05 16:00:05,"[54.315311431884766, 18.59115028381348]",['54.314116968278_18.590891513078_54.316382354819_18.593588428032'],0.6209603606280908,STOP 6,"[0, -6.083333333333333]",6.083333333333333,[2.9252019]
136202411051529_101_136-02,2024-11-05 16:00:04,"[54.37567901611328, 18.564109802246094]",['54.375697039883_18.564418109673_54.373381328836_18.560151360082'],0.5982384215058444,,[-20.066666666666666],20.066666666666666,[3.66022105]
9202411051553_102_009-21,2024-11-05 16:00:06,"[54.35792922973633, 18.68674087524414]",['54.360487478082_18.693019807084_54.358081572184_18.687090223444'],0.19001385876644272,STOP 7,"[0, 1.9]",,[2.62135346]
